,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,duty_factor,stance_duration
1448,NotAtaxic,Switch,ControlPBS03,S4,Washout,84,19,38,0.059455332129886074,-0.43805967104325205,-4.5570657412762685,-0.00994839944433025,1.1622188067195367,0.1760001134390876,0.452083048194325,1.8585542933547394,3.0303030302984553
1449,NotAtaxic,Switch,ControlPBS03,S5,Baseline,85,0,11,-0.2003139919705319,0.8695346177226355,1.5151515151515151,-0.006518972693795408,1.528429744219551,2.2150328665068457,-0.29563518485639406,-0.2944128637531769,-5.4569682106375694e-12
1450,NotAtaxic,Switch,ControlPBS03,S5,Baseline,86,1,12,0.8409519388217888,1.1657088693946633,0.1098901098901095,-0.0016196616307725537,-0.3758440114031316,1.7065568403764075,0.8343552098129692,0.02836489070559267,6.0606060606096435
1451,NotAtaxic,Switch,ControlPBS03,S5,Baseline,87,2,13,1.2895140985045543,0.6311916043888814,0.051824212271973424,-0.0016428723618002877,-1.0488259671914761,1.2335208931354344,0.20170308122730773,0.9029462185145185,3.0303030303011838
1452,NotAtaxic,Switch,ControlPBS03,S5,Baseline,88,3,14,2.1839283130786384,1.0620695171934287,-2.7210390113615928,-0.008656144552077819,-1.0501081812627575,1.93965218283914,0.6170528103606614,-0.025664541204946545,-4.545454545457687
1453,NotAtaxic,Switch,ControlPBS03,S5,Baseline,89,4,15,3.4295262368382,1.0390657367128213,-4.769945079156949,-0.004480235844806099,-2.341045032848001,1.7358991834852588,0.4996193779839615,-0.0006670303470066585,-3.0303030303048217
1454,NotAtaxic,Switch,ControlPBS03,S5,Split,90,0,24,-1.2501726246843816,-0.30316353310355737,-1.4815781233691676,-0.1221316511619625,7.940720066879749,3.346370531559259,-3.650093428906871,-10.850858026125842,-48.48484848485259
1455,NotAtaxic,Switch,ControlPBS03,S5,Split,91,1,25,-0.4530550253511336,-0.5538706827645186,-3.8480764861132957,-0.11798224361876046,8.000676318852598,3.139220343695726,-4.012928201694649,-9.0583775335399,-45.45454545454868
1456,NotAtaxic,Switch,ControlPBS03,S5,Split,92,2,26,-1.975819558808297,-0.9502812266750951,-3.447289951354851,-0.12433068160158176,8.069094262941917,3.129329103412033,-4.55870580191565,-9.489877429969908,-49.99999999999818
1457,NotAtaxic,Switch,ControlPBS03,S5,Split,93,3,27,-1.4535923196812064,-0.9311927341585289,1.1892463597009049,-0.1211576413520765,10.011322329742754,3.9027069554184237,-5.481459663639427,-7.849446130455945,-39.393939393941764
1458,NotAtaxic,Switch,ControlPBS03,S5,Split,94,4,28,1.5840087274108186,-0.1906876612191013,-4.545454545454546,-0.11299968975724999,3.9983036542179775,3.516730326422703,-4.240544637044309,-4.487529517374231,-18.181818181819835
1459,NotAtaxic,Switch,ControlPBS03,S5,Split,95,5,29,1.074997102371384,0.20116029879747543,-0.009758001561279706,-0.12327350921210897,5.24839562611848,2.7102248837249476,-3.4187360097408117,-9.66138979905202,-36.36363636363967
1460,NotAtaxic,Switch,ControlPBS03,S5,Split,96,6,30,0.9507073296440609,0.2243241026314564,2.73972602739726,-0.12055316095809006,5.884407120521644,4.613031003488146,-3.716948538115531,-6.851859018504751,-21.212121212125567
