,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Perc,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,stance_duration
12605,NotAtaxic,Switch,Switch07,S3,Baseline,43,0,6,5,-3.1686031457149397,-0.3930848054211644,2.6864143402932843,0.003424337601010491,1.5822478015013388,-0.5420280225349217,-0.24300006904991278,-6.0606060606041865
12606,NotAtaxic,Switch,Switch07,S3,Baseline,43,0,6,6,0.4148232816445301,1.005618259160233,1.2155866415369854,0.00433455699273004,-0.03144620644926022,2.5613380200935154,0.3452859743676697,-1.5151515151483181
12607,NotAtaxic,Switch,Switch07,S3,Baseline,43,0,6,7,-0.3146855518071163,0.5107364269218344,0.9680479410512453,-0.00280549978455015,-0.5755068075777103,1.674126133774294,-0.0810064450658956,-13.636363636356691
12608,NotAtaxic,Switch,Switch07,S3,Baseline,43,0,6,8,-0.5631880326704959,0.06568455936933404,1.2103132424093443,-0.004146957153659758,0.6146710328381602,1.3082118949504462,-2.2788577609591982,-6.0606060606005485
12609,NotAtaxic,Switch,Switch07,S3,Baseline,43,0,6,9,-0.5502874200994512,-0.7969774381078629,0.46190436325871786,-0.001223664683689743,2.3654012969045795,0.6264416858403621,-1.8073765918462357,-3.0303030303039122
12610,NotAtaxic,Switch,Switch07,S3,Baseline,44,1,7,0,1.17870292278252,1.353672778967681,-5.382473293811743,0.019617525769312333,2.133583300041394,1.3774736963137144,-0.5396101209852588,18.181818181818926
12611,NotAtaxic,Switch,Switch07,S3,Baseline,44,1,7,1,0.29802033395476,-0.5944805915909548,0.010668592457470982,0.011019989549065773,-0.4284213287661629,0.16449244335446167,-0.4858922476720551,4.545454545456323
12612,NotAtaxic,Switch,Switch07,S3,Baseline,44,1,7,2,0.09138319227429292,0.7956528904462381,-0.27260791681676455,0.01150507071960366,-3.3349894513987266,0.2680749604196535,1.413832770453567,-4.545454545451321
12613,NotAtaxic,Switch,Switch07,S3,Baseline,44,1,7,3,-1.0209362916271516,-0.16909657102642583,-1.4845556718627169,0.00262268661809395,-1.8976808798433495,0.5732661545878983,-0.029080323498675398,-6.0606060606041865
12614,NotAtaxic,Switch,Switch07,S3,Baseline,44,1,7,4,0.774021341343115,-0.2854689203127343,0.2570006847410564,0.004611835315971341,0.5743277193319898,-0.04126808860087294,-1.2455603088995417,1.5151515151519561
12615,NotAtaxic,Switch,Switch07,S3,Baseline,44,1,7,5,-2.774186567826746,-0.72732935048111,2.723870174850566,0.00014413915861352655,-0.4079298539594589,-0.348299199884579,-1.8786613387290743,-3.0303030302966363
12616,NotAtaxic,Switch,Switch07,S3,Baseline,44,1,7,6,1.8469762320470409,1.2182105671275885,-0.8320365183110292,0.004460524780403513,-1.268356014983837,1.5527879348908726,0.6995230010061562,-15.15151515150501
12617,NotAtaxic,Switch,Switch07,S3,Baseline,44,1,7,7,-0.2006916084674799,0.6660138717805673,1.6619265841713426,0.002901323929538513,-2.1859949285333897,0.8155456697097776,0.6612874040699808,-6.0606060606151
12618,NotAtaxic,Switch,Switch07,S3,Baseline,44,1,7,8,-1.651871806443296,0.2857001140864135,2.3424645926211958,0.006752079522985399,-2.350150214301223,-0.06428728199966827,-0.26524476330689595,-3.0303030303002743
12619,NotAtaxic,Switch,Switch07,S3,Baseline,44,1,7,9,-0.3672590159406752,-0.15040840765440677,-3.091394807081083,0.008873971481255905,-0.8589426676432339,0.12873447302614238,1.3160474372632223,-6.0606060606078245
