,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Perc,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,duty_factor,stance_duration
1090,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,110,11,59,0,-1.7915205522017459,-0.18191674743039243,-3.1986748653415322,-0.08080479901201953,7.508287526140279,5.338225701842646,-4.256435355754832,-4.633366364251145,-9.090909090909918
1091,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,110,11,59,1,0.5169338650173927,0.4878535415187031,2.118785452118785,-0.15191613184122058,12.09791549528488,10.21240696762547,-9.826814285432448,-14.874594434426385,-36.36363636363603
1092,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,110,11,59,2,4.348169191919212,1.3619432545671657,0.4988943394740504,-0.1569194014596142,11.865735294842963,8.482890658908403,-8.22850622311988,-15.229348586799514,-33.33333333333576
1093,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,110,11,59,3,-0.8705832741476911,-0.2337272721107837,4.538538538538538,-0.15388833178910685,12.33891188496294,9.343260948104103,-8.444421941583755,-14.49294177336035,-42.42424242424386
1094,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,110,11,59,4,1.4482594499684467,-0.7008581450491675,-2.3108933961647145,-0.15594871391829196,12.79525756835936,7.89767949268068,-8.349050656713615,-14.605607092655127,-24.24242424242766
1095,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,110,11,59,5,2.488723909012009,-0.7485495673285669,-0.7560096556860314,-0.15591208172263674,9.825064919211641,6.276961047239979,-7.547316888366083,-13.180765948135104,-21.21212121213466
1096,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,110,11,59,6,0.34161191998106233,-1.7158912889885443,-0.560745418901448,-0.15227373980152384,11.005548034051458,5.273682180077159,-8.18158737336745,-9.643488035288108,-10.606060606056417
1097,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,110,11,59,7,2.9036704940025686,0.5071312490135682,0.8400130736021607,-0.1522837736395181,15.79122061681268,8.200454711914091,-8.514662463255604,-17.290007968256482,-39.39393939393631
1098,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,110,11,59,8,-3.3109645650844186,-2.5426238474219645,4.789725623058956,-0.16028561675593275,16.11329666291826,6.710482125330458,-12.053366381712607,-12.87587176405917,-25.757575757579616
1099,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,110,11,59,9,-2.7273659754281,-2.4691539800309528,3.0139853286429403,-0.1503242385413713,9.67670016818579,5.94978982752022,-11.152760669438507,-10.06982064223828,-28.78787878787989
1100,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Washout,111,0,39,0,1.4860056867503033,1.5435623400138638,-0.16628242118438274,-0.012288347326456117,-0.22502089991712637,2.167487866950779,0.10792896001025554,0.8272389778672036,6.060606060605551
1101,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Washout,111,0,39,1,5.998684661557007,0.83771907921993,-3.302555734434039,0.001513310456195377,2.4674078430792434,1.0754460036152977,0.828760320490062,4.97785262087411,1.5151515151510466
1102,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Washout,111,0,39,2,0.34770002268786016,-0.3602654042870057,-3.3643606152969445,-0.003908668190290815,0.39761475842409766,1.1889255408084978,-0.6429229119811168,2.629984320152367,3.637978807091713e-12
1103,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Washout,111,0,39,3,4.938730567392696,2.881184972897927,-5.803824348756798,0.0014889979478913407,-1.506759181167169,2.3543117022273634,2.8920144745797245,-3.6969940059835835,-6.0606060606078245
1104,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Washout,111,0,39,4,5.424353088995474,2.276184582951089,-6.702864299235363,0.002047078086290774,-0.08914831912879606,2.4338250208382846,1.3185404767893942,-1.594993870796813,-3.0303030303002743
1105,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Washout,111,0,39,5,1.9737628975299515,0.8067352603180069,-4.3576328664047965,0.005187138230300842,1.0372816914260312,0.33389775439943037,0.7912915162365834,0.4292399507332263,3.030303030311188
1106,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Washout,111,0,39,6,2.125487664733299,1.5115198462900565,-1.0558177224843894,-0.0022972462665120374,0.17109109897803876,1.539261172516234,-0.40681627061630365,0.6761029612393514,3.0303030303039122
