,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,stance_duration
91,,,,,,,,,,-3.0281201757565697,6.77878576086857,-0.1439765059083815,12.880961100260464,4.633523960306121,-11.230925357703,-27.272727272731572
92,NotAtaxic,Switch,SwitchLeft01,S3,Intersplit,47,0,18,-0.35871255277385217,,,,,,,
93,,,,,,,,,,0.5373188943574192,0.9450671631178165,0.002492392793727899,-0.6777445475260464,0.7202302566682164,0.15503083816685148,3.0303030303002743
94,NotAtaxic,Switch,SwitchLeft01,S3,Intersplit,48,1,19,0.8573127515388137,,,,,,,
95,,,,,,,,,,0.7071716616852228,-1.0504843812444915,0.0017327628327712258,-0.5381266276041146,0.11315201268048725,0.7532331678602731,3.0303030303002743
96,NotAtaxic,Switch,SwitchLeft01,S3,Intersplit,49,2,20,1.3729211055871247,,,,,,,
97,,,,,,,,,,0.742760089912835,-0.445142707515056,-0.0018640252750846964,0.6606439147332992,0.496334499782904,0.580250133167624,3.637978807091713e-12
98,NotAtaxic,Switch,SwitchLeft01,S3,Split,50,1,9,-4.534418895991166,,,,,,,
99,,,,,,,,,,-2.417109711001629,7.44409327631871,-0.14493475990320423,13.384763158933112,5.105486783114259,-10.464747265131763,-24.24242424242766
100,NotAtaxic,Switch,SwitchLeft01,S3,Intersplit,51,3,21,2.0273844401041856,,,,,,,
101,,,,,,,,,,0.926379964809243,-0.6089707518975631,0.0017910960628983452,-1.4877935852667008,0.6403335417159326,0.9797426987978639,3.0303030302929983
102,NotAtaxic,Switch,SwitchLeft01,S3,Intersplit,52,4,22,0.48072892005998824,,,,,,,
103,,,,,,,,,,0.6314383612738794,1.0824161853910137,0.0017293502933763416,-1.0391389480744806,0.6472655016966371,0.7926902385673031,-1.8189894035458565e-12
104,NotAtaxic,Switch,SwitchLeft01,S3,Intersplit,53,5,23,-0.2347387448705831,,,,,,,
105,,,,,,,,,,0.3587867274428902,0.8028346558094834,0.003705074589564053,-1.0873582628038179,0.14414931788581953,0.45721458666251635,-3.637978807091713e-12
