,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Asym
106,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Baseline,107,1,7,-0.15453762478296085
107,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Baseline,108,2,8,-0.7051101838698912
108,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Baseline,109,3,9,-1.3150130591943707
109,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Baseline,110,4,10,0.026201961016425912
110,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,111,0,48,-3.6416641389480446
111,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,112,1,49,-3.5096447877209016
112,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,113,2,50,-3.7719264174952087
113,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,114,3,51,-4.144132980192552
114,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,115,4,52,-4.027634437638099
115,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,116,5,53,-1.055738661024293
116,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,117,6,54,-8.235268640999806
117,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,118,7,55,-4.089663727114896
118,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,119,8,56,-0.6269358625315533
119,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,120,9,57,-3.035659019393094
120,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,121,10,58,-1.177701083096565
121,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Split,122,11,59,0.5650607022372469
122,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Washout,123,0,51,2.366900203203926
123,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Washout,124,1,52,2.140268653330182
124,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Washout,125,2,53,2.9430350872001725
125,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Washout,126,3,54,3.119636304450779
126,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,127,126,55,
127,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,128,127,56,
128,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,129,128,57,
129,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,130,129,58,
130,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,131,130,59,
131,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,132,131,60,
132,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,133,132,61,
133,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,134,133,62,
134,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,135,134,63,
135,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,136,135,64,
136,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,137,136,65,
137,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,138,137,66,
138,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,139,138,67,
139,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,140,139,68,
140,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,141,140,69,
141,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,142,141,70,
142,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,143,142,71,
143,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,144,143,72,
144,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,145,144,73,
145,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,146,145,74,
146,NotAtaxic,NoSwitch,NoSwitchLeft02,S7,Washout,147,146,75,
147,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Baseline,1,0,0,0.0
