,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Perc,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,duty_factor,stance_duration
10033,NotAtaxic,Switch,Switch05,S3,Washout,59,6,28,3,-7.408034199416036,-1.6246625190772122,-4.239264275819609,-0.002661361598250922,2.7952406141492645,-2.104175452030077,2.3532541111262333,-6.89486919036986,-1.8189894035458565e-12
10034,NotAtaxic,Switch,Switch05,S3,Washout,59,6,28,4,-3.755889276061424,-1.5535270848398284,2.588503996954701,7.883344589543206e-05,11.567503033262284,-1.7570516156025917,-0.7512582672967199,-4.4821100148909565,15.151515151512285
10035,NotAtaxic,Switch,Switch05,S3,Washout,59,6,28,5,-3.094428476661136,-1.0153927507765559,2.766439909297053,0.0015095498498418625,6.4490578391335305,-1.045311821831632,-0.6610888423341805,-6.072489601907137,21.21212121212011
10036,NotAtaxic,Switch,Switch05,S3,Washout,59,6,28,6,-1.5178564823035288,-0.8991273286105468,-5.512991339107261,-0.0019375743205757578,3.6427815755208144,-1.3695187038845233,0.2582339325336136,-7.6364473509148425,-3.0303030303039122
10037,NotAtaxic,Switch,Switch05,S3,Washout,59,6,28,7,-3.7810123328006,-1.1248398832339035,2.941176470588235,-0.009926284692765769,5.6296300406407624,0.11885286581633636,-1.4930473433600753,-2.047094636941438,3.030303030311188
10038,NotAtaxic,Switch,Switch05,S3,Washout,59,6,28,8,-1.6968467018821514,-0.3295997700044353,-2.857142857142857,-0.007268750324854745,7.3254517834595845,0.08781510170061324,-1.9522444166318564,0.7679738562041152,3.0303030303039122
10039,NotAtaxic,Switch,Switch05,S3,Washout,59,6,28,9,-2.7518763686671264,-1.484284549624391,-3.9742939286318277,0.0019600958966384807,7.298833673650563,-1.0729125051787207,-0.4064828458458578,-6.02458097851904,-7.275957614183426e-12
10040,NotAtaxic,Switch,Switch05,S3,Washout,60,7,29,0,-6.342438977174055,-2.102343213451732,2.8169014084507045,0.009578002533962127,8.140301945233603,-2.3676669958865943,-1.6336825158861075,1.6209150326745245,-3.030303030304367
10041,NotAtaxic,Switch,Switch05,S3,Washout,60,7,29,1,-3.0344105730153217,-1.89940452994513,1.4681647940074916,-0.0001251456407705409,6.370467369002512,-1.7279730902778283,0.5369295495929407,-0.9729899992171056,-3.0303030303039122
10042,NotAtaxic,Switch,Switch05,S3,Washout,60,7,29,2,-0.9972851685803619,-0.47039667113786976,-0.6654525077052398,-0.01260077149704425,6.713890306877346,-0.16121334499784723,-0.23146337933008,-3.9812096564208233,-4.545454545455868
10043,NotAtaxic,Switch,Switch05,S3,Washout,60,7,29,3,-4.2557995728772084,-1.7917154334750975,2.7142338416848224,-0.008069906926758907,6.837709985598167,-2.9263101442896016,-1.165886960848411,2.018573795120183,21.21212121212193
10044,NotAtaxic,Switch,Switch05,S3,Washout,60,7,29,4,-2.3094177246093466,-0.7656312271540742,2.7642276422764227,-0.01134682625737729,9.609846635298311,-0.35749493223255513,-0.9315736475507492,-2.6263350868855326,3.0303030302966363
10045,NotAtaxic,Switch,Switch05,S3,Washout,60,7,29,5,-3.633109969322149,-1.4730880278267975,6.153967507771538,0.0017796380378579807,11.873534231474906,-1.4787808813230043,-0.9716859035085008,-4.884725820153687,3.0303030303020932
10046,NotAtaxic,Switch,Switch05,S3,Washout,60,7,29,6,-4.130361537740754,-1.2964010762184301,-4.283216783216783,0.002071014232384899,4.149512088659975,-0.6945215090356669,-1.9573345328822143,-0.0628885109818853,-6.0606060606078245
10047,NotAtaxic,Switch,Switch05,S3,Washout,60,7,29,7,4.034300524778999,1.690136972728041,-8.859042192375524,-0.0022338105150327137,4.510929608585855,3.1971131912384863,0.9358648097876312,-3.9223304135912294,-4.54545454545223
10048,NotAtaxic,Switch,Switch05,S3,Washout,60,7,29,8,-0.8399269797585305,-1.2115916862370995,-0.44444444444444464,-0.0029769243177579785,6.197056625828608,-1.4826032850477588,-1.3034626691028421,-5.6410974646306435,-1.5151515151483181
10049,NotAtaxic,Switch,Switch05,S3,Washout,60,7,29,9,1.6638938826743441,0.17042805031299935,-5.606588533417801,-0.0037965876852973646,6.302835483743692,-0.43445452295169673,0.7178529344423623,-1.5896551852023428,3.0303030303039122
10050,NotAtaxic,Switch,Switch05,S3,Washout,61,8,30,0,4.351490675800932,1.7201112454849152,-11.35135135135135,0.0006694523846257489,10.490386654632204,0.54727034135297,1.3620531920230974,-5.091177033066806,0.0
